ts_id,date,total,Sex,state_and_territory,hier_1
3,2000-09-30,2805.8432517051697,Females,Australian Capital Territory,3A
3,2000-12-31,2663.3992052078247,Females,Australian Capital Territory,3A
3,2001-03-31,2882.981601715088,Females,Australian Capital Territory,3A
3,2001-06-30,3492.8002939224243,Females,Australian Capital Territory,3A
3,2001-09-30,2993.9394240379333,Females,Australian Capital Territory,3A
3,2001-12-31,2961.465238571167,Females,Australian Capital Territory,3A
3,2002-03-31,2680.1481742858887,Females,Australian Capital Territory,3A
3,2002-06-30,3243.0865726470947,Females,Australian Capital Territory,3A
3,2002-09-30,2321.5201234817505,Females,Australian Capital Territory,3A
3,2002-12-31,2371.331768512726,Females,Australian Capital Territory,3A
3,2003-03-31,2406.22332239151,Females,Australian Capital Territory,3A
3,2003-06-30,2721.6641759872437,Females,Australian Capital Territory,3A
3,2003-09-30,3594.141180038452,Females,Australian Capital Territory,3A
3,2003-12-31,3306.7193489074707,Females,Australian Capital Territory,3A
3,2004-03-31,2493.1270904541016,Females,Australian Capital Territory,3A
3,2004-06-30,2841.1913557052612,Females,Australian Capital Territory,3A
3,2004-09-30,3113.5256729125977,Females,Australian Capital Territory,3A
3,2004-12-31,4281.656108856201,Females,Australian Capital Territory,3A
3,2005-03-31,3994.0993728637695,Females,Australian Capital Territory,3A
3,2005-06-30,3612.1591386795044,Females,Australian Capital Territory,3A
3,2005-09-30,3935.5122299194336,Females,Australian Capital Territory,3A
3,2005-12-31,3251.307107925415,Females,Australian Capital Territory,3A
3,2006-03-31,2904.408661842346,Females,Australian Capital Territory,3A
3,2006-06-30,3829.2151794433594,Females,Australian Capital Territory,3A
3,2006-09-30,3835.8030014038086,Females,Australian Capital Territory,3A
3,2006-12-31,3768.983352661133,Females,Australian Capital Territory,3A
3,2007-03-31,2644.0972595214844,Females,Australian Capital Territory,3A
3,2007-06-30,3760.4776458740234,Females,Australian Capital Territory,3A
3,2007-09-30,2752.137954711914,Females,Australian Capital Territory,3A
3,2007-12-31,2457.1811904907227,Females,Australian Capital Territory,3A
3,2008-03-31,2589.6640014648438,Females,Australian Capital Territory,3A
3,2008-06-30,2876.220718383789,Females,Australian Capital Territory,3A
3,2008-09-30,4743.244651794434,Females,Australian Capital Territory,3A
3,2008-12-31,4968.864562988281,Females,Australian Capital Territory,3A
3,2009-03-31,4985.569839477539,Females,Australian Capital Territory,3A
3,2009-06-30,3746.2217712402344,Females,Australian Capital Territory,3A
3,2009-09-30,2826.5460510253906,Females,Australian Capital Territory,3A
3,2009-12-31,2045.0305404663086,Females,Australian Capital Territory,3A
3,2010-03-31,2520.1829223632812,Females,Australian Capital Territory,3A
3,2010-06-30,3053.0734634399414,Females,Australian Capital Territory,3A
3,2010-09-30,2636.0380935668945,Females,Australian Capital Territory,3A
3,2010-12-31,3394.8812942504883,Females,Australian Capital Territory,3A
3,2011-03-31,4652.000511169434,Females,Australian Capital Territory,3A
3,2011-06-30,3166.9720306396484,Females,Australian Capital Territory,3A
3,2011-09-30,3837.706512451172,Females,Australian Capital Territory,3A
3,2011-12-31,3686.8890380859375,Females,Australian Capital Territory,3A
3,2012-03-31,4511.681045532227,Females,Australian Capital Territory,3A
3,2012-06-30,3845.6099395751953,Females,Australian Capital Territory,3A
